No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
2.97368704031283,2.98992326753785,2.97835597564323,3.07380105595687,2.99011191305772
2.94978014549117,2.95972452967669,2.95294008466317,2.99001525269096,2.97340530267271
2.9238897258157,2.87745505960707,2.89261543756755,2.90346547728461,2.91177132461169
2.92046301146068,2.93857790122304,2.96598624763935,2.97962718498488,2.98214461903774
3.10152418780996,3.08093147729316,3.01199946348078,3.12338440993048,3.00129442889932
2.98853432947013,2.9927500794962,2.97167819490659,2.97993886174846,2.99313220108023
2.94546537874524,2.94376247655668,2.92160572256648,2.93265253702077,2.95835904105672
3.06494292549395,3.12228250090546,3.10049173196169,3.13237016564822,3.11483216669804
2.91904288383775,2.9665542309811,2.97204173757922,2.98720926594271,2.96716337816475
2.93149685002569,2.9551392414881,2.95181611726605,2.97334168953989,3.00144525775018
3.05489313726713,3.03545875252168,3.01506152907299,3.00421825573553,3.0262264990188
2.91482339592241,2.80758768978727,2.84834924782901,2.87950138459504,2.9360658237466
2.8964456723535,2.93013896039806,2.95808051965879,2.92548083156702,2.9001154601437
2.85842002354039,2.9251774774896,2.95033850918497,2.83295409201556,2.95121902219643
2.94352364650366,2.92919442154215,2.93282031962889,2.90952456002544,2.99722335579275
2.92162321023106,2.93898130765116,2.9354781210703,2.97408998864979,2.9547102408916
2.79116616830258,2.93843312619846,2.93135095831928,2.88412409100395,2.90804298441388
2.98901049936654,3.05894636965324,3.06306646048194,2.97515836010749,3.05622691489003
3.0315801278373,3.01894193021978,3.07531738617312,3.08894814861296,3.10077018612316
2.9738080808478,3.01922518079835,3.09621276945424,2.99681114303968,3.00244963655933
2.93841110284255,2.92604001716548,2.89167804866503,2.90444180820976,2.96673167348657
