bin1_No_Sound_PO7	bin1_No_Sound_POZ	bin1_No_Sound_PO8	bin2_One_Soft_PO7	bin2_One_Soft_POZ	bin2_One_Soft_PO8	bin3_One_Loud_PO7	bin3_One_Loud_POZ	bin3_One_Loud_PO8	bin4_Multi_Soft_PO7	bin4_Multi_Soft_POZ	bin4_Multi_Soft_PO8	bin5_Multi_Loud_PO7	bin5_Multi_Loud_POZ	bin5_Multi_Loud_PO8		ERPset
    -1.518	    -1.262	    -0.319	     0.308	    -0.919	     0.572	    -0.051	    -0.649	     1.360	      -1.000	      -1.291	      -0.231	      -0.970	      -1.771	      -0.551	sub-01
    -0.322	    -0.165	    -1.116	    -1.096	    -1.254	     0.202	     0.583	     0.931	     1.431	      -2.732	      -2.711	      -1.341	       0.214	      -0.040	       0.827	sub-02
     1.251	     0.207	     0.977	     1.368	    -0.428	     0.813	     0.463	    -1.492	    -0.900	      -0.758	      -1.672	      -0.742	      -0.187	      -1.601	      -1.102	sub-03
     0.480	     0.822	     0.578	     1.122	     0.033	     1.421	     0.255	    -1.698	    -0.605	       0.095	      -1.276	      -0.430	      -0.016	      -1.140	       0.307	sub-04
     0.222	     1.136	     0.330	    -1.601	    -3.321	    -0.896	    -2.018	    -4.062	    -2.298	      -2.219	      -4.640	      -2.457	      -2.210	      -4.060	      -1.200	sub-05
     0.578	     1.791	     0.787	    -3.342	    -5.251	    -4.116	    -4.314	    -6.731	    -4.932	      -4.139	      -5.748	      -4.526	      -2.819	      -3.176	      -1.882	sub-06
     0.726	     0.475	     0.379	    -1.189	    -2.307	    -1.113	    -2.206	    -3.408	    -1.773	      -1.710	      -3.579	      -1.932	      -3.166	      -4.603	      -2.639	sub-07
     0.465	    -0.863	     0.196	     0.559	    -2.751	    -0.821	     0.039	    -0.758	     1.196	       0.401	      -1.968	      -0.429	       0.377	       0.656	       2.289	sub-09
    -0.105	    -0.670	     0.239	     1.206	    -0.029	     1.858	     2.702	     1.786	     2.872	      -0.253	      -1.576	      -0.059	       1.632	      -0.402	       1.057	sub-10
     1.518	     0.547	     1.212	     0.317	     1.023	     0.970	     2.961	     2.815	     2.275	      -0.436	      -0.764	       0.700	       2.546	       2.935	       2.508	sub-11
    -0.479	    -0.392	    -0.686	    -0.698	    -1.380	    -0.914	     1.524	    -0.648	     0.338	       0.676	      -0.436	       0.322	       0.607	      -0.720	       0.072	sub-12
     0.495	     0.253	     0.252	    -0.834	    -3.349	    -2.480	    -1.081	    -2.394	    -2.523	      -0.465	      -3.155	      -1.524	       1.976	      -1.334	      -0.630	sub-13
    -0.229	     0.218	     0.036	    -0.457	    -0.843	    -0.258	     0.493	     0.135	     0.265	      -1.004	      -1.095	      -0.452	       0.332	      -0.109	       0.483	sub-14
     0.893	     0.739	     0.830	    -0.382	    -0.990	     0.161	    -0.837	    -1.250	     0.168	      -1.422	      -2.139	      -0.036	      -0.372	      -0.688	       0.530	sub-15
     0.070	     0.114	     0.676	     0.065	    -0.389	     0.201	     0.006	    -0.970	    -0.885	       1.147	       0.878	       0.606	       0.521	       0.238	       0.784	sub-16
     0.111	    -0.243	    -0.438	     0.083	    -1.532	    -0.677	    -2.950	    -5.570	    -2.962	       0.843	      -1.888	      -2.033	      -1.698	      -4.054	      -1.759	sub-17
    -0.074	     0.199	    -0.047	     1.750	     1.038	     2.366	     1.556	     0.384	     1.630	       1.394	       0.683	       1.998	       1.171	      -0.239	       1.604	sub-18
     0.703	    -0.969	    -1.384	    -0.966	    -1.765	     0.139	     2.431	    -0.854	     0.168	       0.849	      -1.843	      -0.527	       0.791	      -0.855	       0.101	sub-19
     1.179	     1.690	     1.732	    -0.615	    -1.326	     0.067	    -0.358	    -1.024	     0.949	      -1.026	      -1.545	      -0.582	      -0.014	      -1.039	       0.084	sub-20
     0.320	    -0.533	     0.799	    -0.313	    -0.970	    -0.556	    -1.667	    -2.997	    -1.005	      -3.015	      -5.039	      -2.551	       0.875	      -2.463	      -1.402	sub-21
    -0.940	     0.027	     0.008	     0.523	     0.059	     0.437	     1.976	     1.593	     0.870	       0.755	      -0.367	      -0.123	       3.144	       1.815	       0.526	sub-22
    -0.062	    -0.528	    -0.591	    -0.485	    -0.511	     0.536	     0.648	     1.388	     1.648	      -0.544	      -0.819	       1.080	       0.146	       0.577	       1.688	sub-23
