No_Sound,One_Soft,One_Loud,Multi_Soft,Multi_Loud
4.76381909547739,6,4.58291457286432,4.07035175879397,5.69849246231156
4.10050251256281,3.678391959799,3.31658291457286,4.28140703517588,3.37688442211055
4.28140703517588,3.28643216080402,3.85929648241206,3.04522613065327,3.01507537688442
2.92462311557789,2.8643216080402,2.8643216080402,2.71356783919598,3.1356783919598
4.67336683417085,4.01005025125628,4.19095477386935,4.28140703517588,3.73869346733668
2.38190954773869,2.56281407035176,2.26130653266332,1.95979899497487,2.08040201005025
2.92462311557789,2.05025125628141,2.47236180904522,2.65326633165829,2.1105527638191
2.92462311557789,2.74371859296483,2.95477386934673,2.44221105527638,2.56281407035176
1.98994974874372,1.8391959798995,1.92964824120603,1.5678391959799,1.65829145728643
4.13065326633166,2.53266331658292,2.1105527638191,2.80402010050251,3.49748743718593
3.85929648241206,4.01005025125628,4.25125628140703,4.01005025125628,3.55778894472362
3.46733668341709,2.89447236180905,3.82914572864322,3.97989949748744,3.70854271356784
2.80402010050251,2.44221105527638,3.61809045226131,2.38190954773869,2.29145728643216
4.34170854271357,4.04020100502512,4.07035175879397,3.10552763819095,4.07035175879397
4.25125628140704,3.8894472361809,4.40201005025126,3.1356783919598,3.49748743718593
3.31658291457286,3.79899497487437,3.28643216080402,3.61809045226131,2.71356783919598
3.55778894472362,2.98492462311558,3.52763819095477,2.44221105527638,2.62311557788945
4.04020100502512,4.73366834170854,4.55276381909548,4.13065326633166,4.91457286432161
4.61306532663317,4.22110552763819,5.78894472361809,4.73366834170854,4.88442211055276
3.10552763819095,3.22613065326633,3.34673366834171,3.16582914572864,3.79899497487437
3.31658291457286,3.04522613065327,3.10552763819095,3.10552763819095,3.22613065326633
3.01507537688442,3.76884422110553,3.85929648241206,3.64824120603015,3.43718592964824
